Language,Valence,Well-being,Satisfied,Successful,Confident,Offended,Angry,Frustrated,Accomplished,Productive,That I achieved something,Fulfilled,That I have self-worth,TIME_SUM,TIME_RSI,DEG_TIME
ger,2,3.33333333333333,3,3,4,6,6,2,3,6,3,3,3,428,1.02,8
ger,1,3.33333333333333,2,5,3,3,4,4,2,6,6,2,2,316,1.58,39
ger,1,5.66666666666667,6,6,5,1,2,1,5,6,6,6,6,292,1.91,81
ger,2,2.66666666666667,1,3,4,1,5,5,3,1,1,1,3,501,0.83,2
ger,0,1.66666666666667,2,1,2,7,4,3,2,3,3,1,4,337,1.67,46
ger,1,6,6,6,6,4,6,4,6,5,6,6,6,343,1.73,76
ger,1,6.33333333333333,7,6,6,1,1,2,6,6,7,6,6,334,1.49,44
ger,2,1.66666666666667,1,2,2,6,7,4,3,3,3,2,4,456,1.4,70
eng,1,5.33333333333333,5,6,5,3,3,3,6,7,5,5,5,557,0.56,0
eng,2,6,6,6,6,7,1,2,7,6,6,7,5,581,0.99,11
eng,1,7,7,7,7,7,4,7,7,7,7,7,7,764,0.52,0
eng,2,6,5,7,6,3,3,2,6,6,6,6,6,635,1.03,13
eng,1,6,6,6,6,1,4,4,6,6,6,5,5,496,0.76,3
eng,1,5.66666666666667,3,7,7,5,1,2,6,6,7,6,2,425,1.56,70
eng,2,5.66666666666667,5,6,6,5,2,6,5,6,6,6,5,255,1.88,95
eng,1,4,3,6,3,4,4,5,6,5,6,5,6,724,0.47,1
eng,2,5.66666666666667,5,5,7,6,3,6,6,6,6,5,5,621,0.53,0
eng,0,6.66666666666667,6,7,7,5,1,2,6,2,1,6,7,368,1.07,12
eng,2,1,1,1,1,7,7,7,1,2,1,3,1,437,1.68,131
eng,2,1.66666666666667,1,2,2,6,3,6,2,3,5,2,2,607,1.21,49
eng,1,6.66666666666667,6,7,7,1,4,3,6,7,6,6,7,589,0.64,3
eng,0,4,4,4,4,4,4,4,4,4,4,4,4,665,0.59,2
eng,2,3.33333333333333,3,4,3,5,5,5,4,4,4,4,4,340,1.28,16
eng,2,6.66666666666667,7,7,6,1,1,1,5,7,7,6,6,613,0.35,0
eng,2,6.66666666666667,7,7,6,1,1,3,6,2,7,4,6,502,1.85,166
eng,2,3.66666666666667,3,4,4,5,4,5,5,6,4,5,5,429,1.3,33
eng,1,4.66666666666667,5,5,4,3,3,2,5,6,6,6,6,440,0.9,6
eng,1,5.66666666666667,5,5,7,5,3,1,3,7,5,6,6,688,0.43,0
eng,0,7,7,7,7,1,1,1,7,7,7,7,7,231,1.98,76
ger,2,2.33333333333333,2,2,3,4,5,5,4,1,2,2,3,468,1.03,10
eng,2,5.66666666666667,5,6,6,4,2,4,5,6,5,5,6,402,1.25,27
eng,2,6.33333333333333,7,6,6,3,1,3,6,5,6,6,5,538,0.84,17
eng,1,5.66666666666667,7,5,5,2,5,6,5,7,6,6,5,392,1.26,16
eng,1,7,7,7,7,4,4,4,7,7,6,7,7,591,0.56,0
ger,1,5.33333333333333,5,6,5,1,1,2,6,7,7,5,6,710,1.12,50
ger,1,5.33333333333333,6,6,4,2,4,2,5,6,6,5,5,337,1.28,17
ger,2,2.33333333333333,3,1,3,1,7,6,3,2,3,2,2,356,1.16,16
ger,2,1,1,1,1,3,3,3,1,2,1,2,4,167,2.63,151
eng,2,1,1,1,1,6,6,7,1,2,1,1,3,593,0.79,4
eng,2,6,6,6,6,1,1,1,5,5,7,6,5,676,0.7,4
eng,0,3,3,3,3,3,3,3,3,3,3,3,3,297,1.79,55
ger,2,1.66666666666667,2,2,1,3,6,6,2,1,1,1,2,555,0.85,2
ger,2,2,2,2,2,4,5,6,2,3,3,2,3,536,1.16,19
eng,1,1,1,1,1,4,5,4,1,1,2,2,4,427,1.78,83
ger,2,1.66666666666667,2,2,1,2,2,1,2,2,1,1,2,528,0.79,0
eng,1,7,7,7,7,1,7,1,7,7,7,7,7,272,1.85,84
ger,2,4.33333333333333,5,4,4,1,1,2,4,3,5,4,5,483,1,8
eng,1,6,6,6,6,5,5,5,6,6,6,6,6,369,1.35,19
eng,1,6.33333333333333,6,7,6,4,4,4,7,6,7,6,7,234,1.48,76
eng,1,5.33333333333333,5,5,6,5,6,5,5,5,5,5,6,220,1.99,76
eng,1,7,7,7,7,7,3,5,5,7,7,2,7,369,1.84,76
ger,2,2.33333333333333,5,1,1,4,4,2,2,6,2,1,1,743,0.54,2
ger,2,4.33333333333333,3,5,5,5,7,5,5,5,3,5,7,526,0.8,0
eng,2,5,5,5,5,4,4,4,6,6,5,5,5,227,1.95,67
eng,1,6,5,6,7,1,5,6,4,6,6,3,6,464,0.8,1
eng,2,3,3,3,3,6,2,6,4,3,5,3,4,650,0.87,9
ger,1,5.33333333333333,5,6,5,4,5,6,4,6,5,5,6,646,1.26,73
ger,2,2,1,1,4,5,5,6,1,5,4,3,4,378,1.45,38
eng,1,4,2,5,5,4,4,4,5,6,6,5,5,674,0.63,1
eng,0,6.33333333333333,6,7,6,2,2,2,6,7,6,6,6,670,0.9,9
ger,2,6.66666666666667,7,7,6,4,7,4,7,7,6,6,6,931,0.54,1
ger,2,6,6,6,6,6,2,1,7,7,7,7,7,248,1.91,158
eng,1,4,4,4,4,4,4,5,4,3,4,4,5,274,1.79,44
eng,2,4,3,4,5,5,4,6,5,7,5,5,7,138,2.49,139
eng,2,3,1,5,3,4,6,5,1,4,5,3,5,301,1.37,20
ger,1,3.33333333333333,4,5,1,2,7,5,1,2,4,1,3,545,0.81,2
eng,0,3,3,4,2,5,5,4,5,5,3,4,4,361,1.75,75
ger,2,2,2,2,2,6,6,6,1,2,2,2,2,793,0.6,0
ger,2,3,1,4,4,6,7,2,3,4,1,1,6,371,1.37,56
ger,2,4.66666666666667,4,5,5,3,5,4,3,5,3,4,3,188,2.3,199
ger,1,5,5,5,5,3,4,3,4,6,4,4,4,278,1.87,78
eng,2,5.33333333333333,5,6,5,4,4,4,5,5,6,4,6,251,2.08,104
ger,1,5,4,6,5,4,5,6,5,5,6,5,4,394,1.59,56
eng,2,6.66666666666667,6,7,7,1,1,7,6,7,7,7,7,198,2.16,140
eng,1,5.33333333333333,5,5,6,1,2,1,6,6,5,6,6,520,0.91,8
eng,0,3.33333333333333,4,5,1,1,5,1,5,2,4,1,1,545,0.81,4
eng,1,7,7,7,7,1,2,1,7,7,7,7,4,401,1.01,6
eng,2,7,7,7,7,1,1,1,7,7,7,7,4,587,0.82,14
eng,2,3.33333333333333,4,4,2,2,1,5,4,5,5,4,6,568,0.51,6
eng,1,6,6,7,5,5,4,5,6,5,6,5,5,584,0.52,1
eng,0,6.33333333333333,6,7,6,2,2,4,7,7,7,6,6,598,0.95,14
eng,1,5.33333333333333,6,5,5,3,4,4,6,6,6,6,5,521,0.96,4
eng,2,5.33333333333333,5,6,5,4,4,4,6,6,7,5,7,288,1.84,53
eng,1,4.66666666666667,5,4,5,3,2,3,5,5,5,5,5,185,2.43,193
eng,2,1.33333333333333,1,2,1,7,5,6,2,2,3,1,2,717,0.63,0
eng,1,7,7,7,7,7,7,7,7,7,7,7,7,324,2.27,134
eng,2,6.66666666666667,6,7,7,4,4,4,6,6,6,6,6,329,1.31,28
ger,1,5,5,5,5,4,2,2,6,6,5,5,6,631,0.73,0
eng,1,5.33333333333333,5,6,5,1,2,3,6,6,7,6,6,358,1.41,23
eng,2,6.33333333333333,6,6,7,7,5,4,6,7,4,7,7,862,0.48,0
eng,2,6,6,6,6,2,3,5,3,6,5,6,6,134,2.57,163
ger,1,1,1,1,1,1,1,1,4,1,1,4,4,695,0.61,0
ger,1,7,7,7,7,1,1,1,6,6,5,5,7,514,1.1,14
eng,2,5,5,3,7,5,5,5,6,7,4,7,6,318,1.58,54
ger,0,3.66666666666667,2,4,5,5,5,5,3,4,4,1,2,448,1.05,9
ger,2,1.66666666666667,1,2,2,6,5,7,2,2,3,2,2,281,1.58,30
eng,1,7,7,7,7,1,1,1,7,7,7,6,7,355,1.15,11
ger,1,6.66666666666667,7,7,6,1,1,2,6,7,6,7,4,709,0.35,0
ger,2,3.66666666666667,3,4,4,3,3,2,4,3,3,4,3,524,0.8,3
ger,0,1,1,1,1,4,4,4,1,1,1,1,1,565,1,10
ger,2,2.66666666666667,2,4,2,5,3,5,3,1,2,2,4,248,1.64,37
ger,1,5.66666666666667,6,6,5,2,2,3,5,6,6,5,5,229,2.08,111
ger,1,6.33333333333333,7,6,6,1,1,1,6,6,7,6,6,388,1.42,42
ger,1,7,7,7,7,1,1,1,7,7,7,7,4,584,0.71,2
ger,0,3.33333333333333,3,3,4,5,6,5,3,6,4,2,2,282,1.54,28
ger,1,5.33333333333333,5,5,6,4,4,3,6,5,5,5,5,709,0.63,0
eng,2,7,7,7,7,1,1,1,7,6,7,7,6,472,1.16,67
eng,2,2.66666666666667,3,2,3,5,4,4,2,2,3,3,4,533,0.64,2
ger,1,6,6,6,6,1,1,1,6,6,6,6,6,619,0.61,0
ger,1,5.33333333333333,6,5,5,3,3,2,4,5,4,4,5,334,1.5,49
ger,1,3,2,4,3,5,5,5,5,5,2,1,2,415,1.04,4
ger,1,4,5,3,4,4,4,4,5,5,5,3,4,530,0.86,3
ger,2,6,6,5,7,1,1,1,6,5,5,5,5,525,1.32,40
ger,1,4.66666666666667,5,4,5,3,5,4,5,5,5,4,5,603,0.79,3
ger,0,1,1,1,1,7,7,7,1,1,1,1,1,491,0.96,6
ger,2,2,2,1,3,3,3,6,2,1,2,2,3,422,1.39,47
ger,2,1,1,1,1,5,5,4,1,1,1,1,1,367,1.28,16
eng,2,3,4,4,1,7,5,7,1,3,1,2,1,329,1.39,26
eng,1,4.33333333333333,3,5,5,4,3,1,5,4,2,3,5,832,0.59,3
eng,0,6,6,6,6,6,6,3,4,6,6,7,6,571,0.71,5
eng,1,5.33333333333333,6,5,5,4,5,5,7,5,5,5,5,699,0.74,45
eng,1,7,7,7,7,7,7,7,7,7,7,7,7,81,2.61,262
eng,2,2,2,2,2,6,2,6,2,2,6,2,5,272,2.04,72
eng,2,7,7,7,7,1,1,3,7,7,6,7,5,311,1.33,17
eng,2,4.66666666666667,6,3,5,3,6,2,4,7,4,5,5,574,0.94,20
eng,2,6.33333333333333,7,6,6,5,5,5,5,7,6,6,6,529,0.72,1
eng,2,5,5,5,5,4,4,4,5,5,5,5,5,248,1.9,51
eng,1,6.33333333333333,7,5,7,1,1,2,7,7,7,7,6,340,1.58,73
eng,1,5,5,5,5,6,2,1,3,5,5,5,5,490,1.12,16
eng,2,4.66666666666667,6,3,5,3,4,4,6,2,5,6,6,254,2.01,77
eng,2,1,1,1,1,7,6,7,1,1,1,1,2,644,0.8,3
eng,1,5.66666666666667,5,6,6,3,3,4,5,6,6,5,5,634,0.95,36
eng,2,5.66666666666667,5,5,7,5,4,5,5,5,5,6,5,145,2.51,138
ger,2,3,3,3,3,4,3,3,4,4,4,4,4,443,0.9,2
ger,1,6.33333333333333,7,7,5,1,4,3,6,7,6,2,3,455,0.9,5
ger,1,6,6,6,6,2,2,3,6,5,6,5,6,388,1.11,9
ger,1,5.33333333333333,5,6,5,3,3,2,4,6,5,4,4,477,0.9,5
eng,0,7,7,7,7,4,4,4,7,7,7,7,6,385,1.15,12
ger,1,5.33333333333333,5,5,6,1,1,1,4,5,5,4,4,400,1.41,57
ger,1,4,2,5,5,5,2,5,5,5,3,2,4,434,1.03,4
ger,2,1,1,1,1,7,7,7,1,3,1,1,1,443,1.07,6
ger,1,4.33333333333333,3,5,5,5,2,5,3,3,5,1,3,393,1.18,13
ger,0,6.66666666666667,7,6,7,1,1,1,7,7,7,7,6,720,0.58,1
ger,1,4.33333333333333,4,4,5,4,3,5,6,5,6,4,4,603,1.04,19
ger,1,6.66666666666667,7,7,6,1,1,1,6,6,6,6,7,143,2.67,242
ger,2,1,1,1,1,4,4,7,1,1,1,1,1,649,0.48,0
ger,2,3.33333333333333,3,3,4,5,3,6,2,3,4,4,2,540,0.83,4
eng,2,7,7,7,7,7,7,7,7,7,7,7,7,172,1.93,104
eng,2,7,7,7,7,7,7,7,7,7,7,7,7,131,2.29,161
ger,0,1.33333333333333,1,1,2,4,4,2,2,2,2,1,2,613,0.76,2
ger,2,2.66666666666667,2,3,3,5,6,6,3,3,2,3,3,622,0.7,1
ger,1,5.66666666666667,5,6,6,3,4,3,5,6,7,6,4,423,1.33,20
ger,1,3.66666666666667,3,3,5,4,4,4,4,5,3,3,3,721,0.75,4
eng,2,3,1,3,5,4,5,2,1,5,1,3,3,353,1.62,37
eng,1,3.66666666666667,3,4,4,5,5,4,4,4,4,4,4,393,1.43,56
eng,1,5.66666666666667,6,5,6,4,4,4,5,5,6,6,6,529,0.98,9
ger,2,6.33333333333333,6,7,6,7,2,4,6,7,6,6,5,511,0.84,15
ger,1,2.66666666666667,2,2,4,5,6,6,3,4,3,2,2,390,1.01,8
eng,1,6,7,5,6,4,4,1,6,4,4,6,6,246,1.59,30
ger,0,1.66666666666667,1,2,2,3,2,2,2,2,2,1,2,211,2.23,75
ger,2,1,1,1,1,5,7,7,1,1,1,1,1,678,0.79,2
ger,2,4,3,3,6,4,1,1,1,4,1,4,4,604,0.41,1
ger,1,3,1,4,4,1,1,1,1,4,1,1,4,606,0.8,5
ger,2,1,1,1,1,7,7,7,2,1,3,1,1,437,1.35,42
ger,2,2,2,2,2,6,6,7,2,2,2,2,2,554,0.86,5
ger,1,6.33333333333333,7,6,6,1,4,1,7,7,7,6,7,329,1.92,125
ger,0,4.33333333333333,4,4,5,6,1,5,4,5,4,3,5,355,1.32,21
ger,2,3.33333333333333,3,4,3,5,4,5,4,2,4,4,4,476,0.97,5
ger,2,6,6,6,6,6,2,7,6,6,6,6,6,280,1.66,39
ger,1,5.33333333333333,6,4,6,2,2,2,6,6,4,6,6,364,1.44,25
ger,1,4.66666666666667,4,5,5,4,4,5,4,5,5,4,4,302,1.43,21
ger,1,4,3,5,4,5,4,5,3,5,4,1,3,390,1.23,16
ger,2,2.33333333333333,2,1,4,3,4,2,3,3,2,3,3,566,0.74,6
ger,1,5.33333333333333,6,5,5,3,3,3,6,6,6,5,5,455,1.18,13
eng,1,5.66666666666667,6,4,7,4,1,4,6,5,5,4,5,396,1.43,32
ger,2,1,1,1,1,7,7,7,1,1,1,1,1,346,1.38,19
ger,1,5,5,5,5,2,2,2,6,6,5,4,5,349,1.35,17
ger,2,1.33333333333333,2,1,1,4,6,7,2,4,4,2,1,376,1.53,28
ger,0,5,4,4,7,3,3,2,7,7,4,4,7,325,1.35,19
ger,2,1.33333333333333,1,1,2,6,5,7,1,1,1,1,1,580,1.45,112
ger,1,4,4,6,2,4,4,4,6,6,6,6,6,598,0.83,3
ger,1,6.66666666666667,6,7,7,2,1,3,6,7,6,7,6,661,0.61,0
ger,1,2.33333333333333,1,3,3,6,7,7,3,2,1,3,3,670,0.73,0
ger,1,6,6,6,6,1,1,1,6,7,7,5,6,593,1.63,80
